,0,1,2,3
1000160,68.0,70.3820613954359,1041827.1017866437,1040329.2467876377
1000448,68.0,70.0,1009332.1017866437,1053261.3619948076
1000816,71.0,73.27787778208015,1073936.1875577637,1071008.435586358
1000827,69.0,71.36124146440261,1026210.2318907257,1026102.7558280991
1001041,63.0,65.62156704788141,1057652.1467251084,1057853.491025824
1001128,73.0,75.20449054316182,1068013.4477659273,1065312.0126514593
1001229,66.0,68.50244086501392,1055979.5370373542,1055792.5564027978
1001407,62.0,64.56479524095778,1135130.0166210267,1127697.8356979887
1001438,60.0,62.56900729678428,1106922.8062449137,1099549.1384483373
1001608,53.0,55.96580432584046,1105362.8456842895,1102606.2172105964
1001679,49.0,51.0,1036806.6298090877,1053651.8900172515
1001727,49.0,52.0,1088358.325267962,1080903.7155802075
1001849,79.0,80.97558390477556,1057217.2283904187,1054491.1144855253
1001870,70.0,72.3242488890388,1069182.0574536817,1066919.8120475875
1001960,74.0,76.09872853223227,1074422.8824111351,1068521.1338708634
1002105,63.0,65.0,1074673.1965571593,1098196.4567653232
1002166,64.0,66.0,1038576.2768291903,1053636.5370373542
1002192,60.0,62.70836743276776,1039402.0609539886,1039634.6218889796
1002217,61.0,63.5957045016469,1097008.1910580704,1091241.3069595667
1002280,73.0,75.20676206540428,1066202.4477659273,1063683.782699251
1002329,54.0,56.908876907394266,1072838.2803294973,1070810.6421520968
1002331,55.0,57.96600010865217,1040775.1058924533,1044165.3933114198
1002415,71.0,73.36676171541929,957377.4920988895,963845.3465357006
1002690,56.0,58.84769016370083,1057188.540537661,1056368.889153625
1002736,70.0,72.0,1034234.0574536817,1026613.3176618455
1002810,73.0,75.18339943580776,1039133.7523070532,1036979.1687579986
1003021,61.0,63.742795480268185,1025432.8865169446,1029257.2873250883
1003265,58.0,60.800742139221235,1030186.8007458248,1031720.8046159644
1003352,65.0,67.56623533777591,1037334.4069332723,1039214.8427115548
1003383,73.0,75.1939944376752,1030686.7523070532,1029384.6583182942
1003522,65.0,67.37503387947655,1100491.4567653232,1092838.3074858682
1003536,67.0,69.4457369031501,1068971.6671414361,1067287.7831145627
1003545,78.0,79.93151787996372,1078870.4028274626,1071776.9631039551
1003593,55.0,57.9242685699838,1074046.1058924533,1074078.6118315337
1003677,71.0,73.31388222491252,1045231.1875577637,1045200.4064432641
1003779,64.0,66.580650855463,1058057.2768291903,1058032.0250769334
1003873,61.0,63.613474502273114,1039254.9363489955,1038524.7472997314
1004074,67.0,69.50121528602924,979045.9716825619,984069.8339408612
1004150,62.0,64.67219271223729,1049506.0166210267,1050715.1954838005
1004269,53.0,56.00039122640587,1032093.1502254154,1034363.3083924905
1004281,75.0,77.17084032646959,984715.0125152171,987681.0673237627
1004404,62.0,65.0,1029638.0166210266,1022729.4069332723
1004439,77.0,80.0,1057842.272723381,1046729.6630356265
1004471,66.0,68.37548503082002,1111501.8415784799,1103343.6796138627
1004634,68.0,70.4010789659715,1026665.1017866437,1026697.4287117766
1004803,73.0,75.0,1092397.4477659273,1072939.7079740912
1005046,72.0,74.29495251144928,1028107.3176618455,1029619.005192186
1005236,65.0,68.0,1026123.711474398,1003973.1017866437
1005293,60.0,62.68603226072401,1057209.0609539887,1055644.500828226
1005315,58.0,60.79074858605118,1040263.241495624,1042356.1703727917
1005466,61.0,63.68625181842336,1024818.1910580705,1026336.8783290163
1005748,53.0,56.09004674179393,960614.1502254154,970098.1240998862
1005789,67.0,69.48424365789504,1038271.667141436,1039686.0936983293
1005826,67.0,69.38448337602622,1072111.9716825618,1067743.4113744504
1006054,65.0,67.51227049963649,1034663.711474398,1034445.9296946434
1006340,68.0,70.39179093604034,1034070.1017866437,1033355.1000514252
1006382,79.0,80.9832363383488,1051116.2283904187,1049005.8406376932
1006450,56.0,58.8748430701086,1035540.540537661,1036905.6522649401
1006485,61.0,63.6415728869564,1106133.8865169447,1101813.7673765365
1006541,59.0,61.77287183462374,1020190.9308499068,1022548.0301453068
1006559,74.0,76.0,1012557.5778700092,1014860.8380781731
1006726,68.0,70.41774869513418,1059069.7972455178,1058199.521960033
1006742,71.0,73.0,1036277.4920988895,1051493.7523070532
1006962,53.0,56.175664884908706,938048.8456842895,952177.908969955
1006979,59.0,61.77782522515214,1061936.6263087809,1062448.4094143137
1007178,59.0,62.0,1045258.6263087809,1055935.0166210267
1007218,76.0,78.11918382701057,1039377.8380781731,1039009.2424671985
